Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
PD_190S_filtered_2	1.48408556992	48.0	134.952621702	4373247.0	9.09090909091
PD_191P_filtered_1	1.87308251251	41.0	137.908445019	37158.0	18.1818181818
PD_191P_filtered_2	2.09645298455	41.0	137.358415415	37158.0	9.09090909091
PD_192S_filtered_1	0.97772949484	43.0	126.612710483	1841.0	9.09090909091
PD_192S_filtered_2	1.24932102118	43.0	126.112982075	1841.0	9.09090909091
PD_193P_filtered_1	2.365467972	46.0	129.749347845	4843940.0	9.09090909091
PD_193P_filtered_2	2.33839368654	46.0	129.870295256	4843940.0	9.09090909091
PD_194S_filtered_1	1.36989573519	48.0	129.687925156	3520617.0	9.09090909091
PD_194S_filtered_2	1.35605106744	48.0	129.809648138	3520617.0	9.09090909091
PD_195_filtered_1	2.42673274484	50.0	130.73775725	5300974.0	18.1818181818
PD_195_filtered_2	2.48290802675	50.0	130.978110061	5300974.0	18.1818181818
PD_196_filtered_1	2.39969106097	47.0	132.130042503	6203987.0	9.09090909091
PD_196_filtered_2	2.42912722535	47.0	132.263775859	6203987.0	9.09090909091
PD_197_filtered_1	2.06238707247	49.0	132.846108289	5176900.0	9.09090909091
PD_197_filtered_2	2.09259953444	49.0	132.936560104	5176900.0	9.09090909091
PD_198_filtered_1	1.97882678864	47.0	137.135676187	3783420.0	9.09090909091
PD_198_filtered_2	1.89685645763	47.0	137.25954401	3783420.0	9.09090909091
PD_199P_filtered_1	0.0	44.0	150.0	1.0	27.2727272727
PD_199P_filtered_2	0.0	47.0	151.0	1.0	36.3636363636
PD_1P_filtered_1	2.54786275534	52.0	125.396525486	3652827.0	18.1818181818
PD_1P_filtered_2	2.6262854906	52.0	125.63958107	3652827.0	18.1818181818
PD_200S_filtered_1	1.52601142466	48.0	132.771771317	4789639.0	9.09090909091
PD_200S_filtered_2	1.55610320924	48.0	132.920145756	4789639.0	9.09090909091
PD_203_filtered_1	1.02393274417	48.0	131.410781343	4172597.0	9.09090909091
PD_203_filtered_2	1.02077799225	48.0	131.613251891	4172597.0	9.09090909091
PD_204_filtered_1	2.02371711861	47.0	126.70871141	4017260.0	9.09090909091
PD_204_filtered_2	2.00565158725	48.0	126.913209003	4017260.0	9.09090909091
PD_205P_filtered_1	2.82844723766	45.0	136.893027217	3182015.0	9.09090909091
PD_205P_filtered_2	2.85053736252	45.0	136.956607684	3182015.0	9.09090909091
PD_206S_filtered_1	1.92977264102	48.0	132.547806621	5535614.0	9.09090909091
PD_206S_filtered_2	1.85707294681	48.0	132.659676054	5535614.0	9.09090909091
PD_207P_filtered_1	2.91427980102	48.0	130.638722018	4927956.0	9.09090909091
PD_207P_filtered_2	2.90352411538	48.0	130.922136886	4927956.0	9.09090909091
PD_208S_filtered_1	2.12202428681	48.0	132.821164093	3893519.0	9.09090909091
PD_208S_filtered_2	2.14347748984	48.0	132.928834815	3893519.0	9.09090909091
PD_209P_filtered_1	2.80637223932	46.0	132.515867983	5075787.0	9.09090909091
PD_209P_filtered_2	2.7248394711	46.0	132.632149064	5075787.0	9.09090909091
PD_210S_filtered_1	1.9572790402	46.0	133.711652864	4343473.0	9.09090909091
PD_210S_filtered_2	1.90641691538	46.0	133.756709896	4343473.0	9.09090909091
PD_211P_filtered_1	1.73392973815	44.0	133.846107453	39794.0	9.09090909091
PD_211P_filtered_2	1.71633914661	44.0	133.010956426	39794.0	9.09090909091
PD_212S_filtered_1	1.53221899225	42.0	130.962088178	16512.0	18.1818181818
PD_212S_filtered_2	1.52010658915	42.0	130.045542636	16512.0	9.09090909091
PD_213S_filtered_1	1.82837849745	46.0	132.643615739	5574960.0	9.09090909091
PD_213S_filtered_2	1.87738932538	46.0	132.818474393	5574960.0	9.09090909091
PD_214S_filtered_1	3.25922624242	46.0	135.832585708	4380761.0	9.09090909091
PD_214S_filtered_2	3.22979622369	46.0	135.878550325	4380761.0	9.09090909091
PD_215S_filtered_1	2.59345722362	46.0	133.249460888	6398017.0	9.09090909091
PD_215S_filtered_2	2.51422355797	46.0	133.32567669	6398017.0	9.09090909091
PD_216S_filtered_1	1.5229392728	44.0	132.891427121	31518.0	18.1818181818
PD_216S_filtered_2	1.57370391522	44.0	132.193286376	31518.0	9.09090909091
PD_217P_filtered_1	1.95227765727	42.0	135.145446524	54398.0	18.1818181818
PD_217P_filtered_2	2.03500128681	42.0	134.679694106	54398.0	9.09090909091
PD_218S_filtered_1	1.10775427996	47.0	135.96978852	993.0	9.09090909091
PD_218S_filtered_2	1.10775427996	47.0	136.257804632	993.0	9.09090909091
PD_221P_filtered_1	1.62115176228	48.0	134.085784437	4623496.0	9.09090909091
PD_221P_filtered_2	1.61189541844	48.0	134.207684834	4623496.0	9.09090909091
PD_222S_filtered_1	1.491590309	47.0	130.380703186	4414594.0	9.09090909091
PD_222S_filtered_2	1.45066410829	47.0	130.471238805	4414594.0	9.09090909091
PD_223P_filtered_1	2.62328901197	49.0	132.882881912	6367189.0	9.09090909091
PD_223P_filtered_2	2.5329921297	49.0	132.947308459	6367189.0	9.09090909091
PD_224S_filtered_1	6.20211439969	45.0	134.413522007	6833039.0	9.09090909091
PD_224S_filtered_2	6.21693563847	45.0	134.472348541	6833039.0	9.09090909091
PD_225P_filtered_1	3.32232706624	46.0	132.034252255	5826361.0	9.09090909091
PD_225P_filtered_2	3.34122713488	46.0	132.194037067	5826361.0	9.09090909091
PD_226S_filtered_1	1.84276827296	47.0	133.071620243	4406352.0	9.09090909091
