feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__Woodwardibium;s__Woodwardibium gallinarum	Group	PD	GroupPD	-0.267262521	0.237902005	0.212559109	0.03236668	0.38569249	0.03236668	0.38569249	NA	abundance	146	17
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis	Group	PD	GroupPD	-0.497612823	0.237902005	0.338495778	0.032866027	0.38569249	0.032866027	0.38569249	NA	abundance	146	92
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus	Group	PD	GroupPD	0.887647861	0.237902005	0.301607081	0.035289694	0.402302509	0.035289694	0.402302509	NA	abundance	146	75
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E siraeum	Group	PD	GroupPD	-0.505990771	0.237902005	0.353026628	0.039200575	0.411413556	0.039200575	0.411413556	NA	abundance	146	72
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides clarus	Group	PD	GroupPD	1.084229675	0.237902005	0.384593997	0.039451837	0.411413556	0.039451837	0.411413556	NA	abundance	146	23
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Jutongia;s__Jutongia sp003524945	Group	PD	GroupPD	-1.093745832	0.237902005	0.581532707	0.039655995	0.411413556	0.039655995	0.411413556	NA	abundance	146	15
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	Group	PD	GroupPD	-0.391572311	0.237902005	0.301545073	0.041197332	0.411413556	0.041197332	0.411413556	NA	abundance	146	75
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor acetigignens	Group	PD	GroupPD	-0.224274	0.237902005	0.222887327	0.042397807	0.411413556	0.042397807	0.411413556	NA	abundance	146	87
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E	Group	PD	GroupPD	-1.437280459	0.237902005	0.783474283	0.043905749	0.411413556	0.043905749	0.411413556	NA	abundance	146	24
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UMGS416;g__Parachristensenella;s__Parachristensenella sp900542005	Group	PD	GroupPD	0.633822472	0.237902005	0.17832071	0.044764284	0.411413556	0.044764284	0.411413556	NA	abundance	146	17
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium merdipullorum	Group	PD	GroupPD	-0.778012868	0.237902005	0.464743101	0.046642182	0.411413556	0.046642182	0.411413556	NA	abundance	146	16
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900758465	Group	PD	GroupPD	-0.28186099	0.237902005	0.250752843	0.046931923	0.411413556	0.046931923	0.411413556	NA	abundance	146	36
d__Bacteria;p__Bacillota_A;c__Clostridia;o__UBA1381;f__UBA1381;g__Hominilimicola;s__Hominilimicola fabiformis	Group	PD	GroupPD	-0.042802486	0.237902005	0.138110734	0.048611989	0.411413556	0.048611989	0.411413556	NA	abundance	146	116
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	Group	PD	GroupPD	0.823381579	0.237902005	0.29347615	0.049519229	0.411413556	0.049519229	0.411413556	NA	abundance	146	106
d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus;s__Faecalibacillus faecis	Group	PD	GroupPD	0.74909427	0.237902005	0.24803226	0.049700233	0.411413556	0.049700233	0.411413556	NA	abundance	146	30
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus aceti	Group	PD	GroupPD	-0.82416161	0.237902005	0.52568797	0.050267976	0.411413556	0.050267976	0.411413556	NA	abundance	146	42
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Hominimerdicola;s__Hominimerdicola aceti	Group	PD	GroupPD	-0.390029097	0.237902005	0.315763858	0.050524472	0.411413556	0.050524472	0.411413556	NA	abundance	146	83
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Intestinibacter;s__Intestinibacter sp900540355	Group	PD	GroupPD	0.952989096	0.237902005	0.341089228	0.052757022	0.417189942	0.052757022	0.417189942	NA	abundance	146	18
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans	Group	PD	GroupPD	-0.13419317	0.237902005	0.187862533	0.05332503	0.417189942	0.05332503	0.417189942	NA	abundance	146	78
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS856;s__UMGS856 sp900546265	Group	PD	GroupPD	-0.517789993	0.237902005	0.357621535	0.056964882	0.43709592	0.056964882	0.43709592	NA	abundance	146	14
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium infantis	Group	PD	GroupPD	1.101556228	0.237902005	0.455140675	0.061655025	0.46415764	0.061655025	0.46415764	NA	abundance	146	87
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_D;s__Dorea_D sp900543415	Group	PD	GroupPD	1.162761434	0.237902005	0.479428797	0.065286648	0.478618681	0.065286648	0.478618681	NA	abundance	146	28
