# Pathway,PD_100P,PD_104P,PD_105P,PD_108S,PD_109S,PD_10P,PD_110S,PD_111P,PD_113P,PD_114P,PD_115S,PD_116P,PD_117,PD_118,PD_119P,PD_11P,PD_120S,PD_121S,PD_122S,PD_123P,PD_126P,PD_127S,PD_128S,PD_129P,PD_12P,PD_130S,PD_131P,PD_134S,PD_137P,PD_138S,PD_13P,PD_140S,PD_141P,PD_142S,PD_145P,PD_146S,PD_147,PD_148P,PD_149S,PD_14P,PD_150P,PD_151S,PD_152P,PD_153S,PD_156P,PD_157S,PD_158P,PD_159S,PD_15P,PD_160P,PD_162P,PD_163S,PD_164P,PD_165S,PD_166,PD_167P,PD_169P,PD_16P,PD_170S,PD_171P,PD_172S,PD_173P,PD_174S,PD_175P,PD_176S,PD_177P,PD_178S,PD_179P,PD_180S,PD_181P,PD_183P,PD_184S,PD_188S,PD_189P,PD_190S,PD_193P,PD_194S,PD_195,PD_196,PD_197,PD_198,PD_1P,PD_200S,PD_203,PD_204,PD_205P,PD_206S,PD_207P,PD_208S,PD_209P,PD_210S,PD_213S,PD_214S,PD_215S,PD_221P,PD_222S,PD_223P,PD_224S,PD_225P,PD_226S,PD_227P,PD_228S,PD_229P,PD_230S,PD_231P,PD_232S,PD_25P,PD_27P,PD_28P,PD_29P,PD_2P,PD_30P,PD_31P,PD_32P,PD_33P,PD_34P,PD_35P,PD_38P,PD_39P,PD_3P,PD_40P,PD_41P,PD_42P,PD_43P,PD_44P,PD_45P,PD_46P,PD_47P,PD_48P,PD_4P,PD_50P,PD_51P,PD_52P,PD_53P,PD_54P,PD_55P,PD_56P,PD_57P,PD_58P,PD_59P,PD_5P,PD_60P,PD_63P,PD_64P,PD_65P,PD_66P,PD_6P,PD_70P,PD_73P,PD_74P,PD_75P,PD_76P,PD_77P,PD_78P,PD_79S,PD_7P,PD_82P,PD_84P,PD_8P,PD_9P
P441-PWY: superpathway of N-acetylneuraminate degradation,275.7488477,422.0773407,185.8251065,417.912086,167.5837422,56.10826477,170.4939955,1088.536122,960.5471033,1070.459599,48.53243933,387.9238042,186.7631309,333.6388008,781.5147377,388.4034286,307.728706,131.2192739,420.2308178,318.3716293,180.7055087,551.9456302,450.0432083,154.5622468,319.4054266,371.0500674,397.4207532,506.0904451,474.230528,108.9238244,223.890484,806.6123456,439.4855319,257.4828381,536.8208535,252.3640044,248.696047,227.8536407,83.64057453,331.3115124,212.8363043,216.3559839,373.4152908,1665.631594,262.6410024,234.4356257,325.4516292,551.9647312,663.373745,401.2002713,904.4209279,544.1472391,262.9775987,986.636368,185.1037751,715.4053371,321.0597065,347.7677739,326.0172824,108.5343033,202.4513769,258.5096701,374.8038219,364.939165,499.2389929,348.2923923,397.3995576,3029.883342,391.3716492,234.2586487,465.6329377,375.6020486,331.8355983,208.913409,342.3961208,185.7659817,485.1542578,653.5652398,1791.491967,494.0223071,376.6461116,81.43474738,245.6238293,324.6271914,220.0031204,723.4241389,244.7154628,414.2552276,182.5707804,427.5935562,213.1388024,195.3727293,236.4093302,481.0910643,268.8793009,315.5358419,1047.16278,385.0654808,498.9871575,183.5534705,175.6689521,309.9649669,875.3226829,719.3637326,607.7318068,1763.706204,209.7658167,250.6676145,0,281.4577647,141.2413705,210.2878616,469.7763197,74.66093071,151.8867806,286.2020544,365.1384101,198.8706606,0,567.0958436,316.8979682,226.6365845,136.2254691,187.2871406,247.4286193,308.7273734,987.5656703,131.6364625,721.5626435,180.196415,0,371.4000077,102.8391349,168.0632333,245.5747037,1812.326229,624.7035569,396.2867066,356.7400089,131.8695233,731.4805295,216.7068706,128.6817345,365.3482877,181.7351913,244.7993602,277.0410399,204.8723737,69.30306759,1140.245934,206.2928687,505.9676692,202.4996427,216.6274669,229.5844129,163.3100666,220.5353656,79.62777356,531.0975389,255.1685951
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate",186.3040766,241.6126606,165.1038184,439.3703542,143.8407418,29.74872772,200.4900051,985.7503701,735.5454819,913.1191598,260.762884,122.8264423,88.20902872,294.2994754,598.5717761,219.5877949,153.8695834,316.6408532,320.468347,113.1084941,242.128594,581.2750045,65.74238113,35.42028779,162.7000108,299.1954069,66.29391316,672.1860056,832.2731626,145.3177687,135.4481912,409.8546611,356.2444035,533.1074735,273.0307326,312.475297,157.9737253,383.3538039,284.6071001,109.5067419,445.9872517,493.6141001,260.0292232,1643.019848,337.8057308,201.2601311,428.7261804,732.7386061,616.2167294,197.7586508,909.6743862,514.9520976,204.7084107,559.5830092,101.5791679,372.8007023,150.4301283,259.9425339,196.0195924,118.4592697,105.9502803,187.6774786,15.60705059,49.09902553,310.4707501,113.2847565,125.1929165,3721.191985,300.1576071,537.0439689,382.1280954,543.8347846,279.2425374,138.2521339,105.4203548,86.91870735,411.8669135,708.6953709,1495.922113,490.6410557,65.09296374,16.42086408,202.1659307,183.3821468,146.0795607,549.5306965,277.5625616,173.9962936,139.7956041,1398.342027,321.453035,284.1289787,28.6214077,184.5044642,326.3714798,169.3632544,1031.906478,157.7308821,217.7771319,181.5934231,150.4485738,191.7088962,652.2185252,727.7770217,437.5296785,1528.890468,114.0741205,260.4900429,0,119.698703,142.7373924,135.3045066,85.05814249,220.7290077,172.6876939,721.295266,302.0833393,574.3951753,82.82490571,433.0539388,380.8793908,63.76603665,225.815321,148.6390456,150.6419316,53.89292144,1063.818251,846.8182896,486.9002266,87.97875026,29.22102886,196.4812164,57.42937969,195.5065951,79.42345811,1694.824734,400.4287548,542.3227389,339.4151078,32.61920154,1064.060077,88.13249733,286.1913761,214.5582744,452.5888295,216.9581962,161.9168812,33.5290193,42.05449308,1034.924995,153.2029083,553.0509208,189.6156879,127.1389742,109.1917566,110.3999744,341.4380311,67.17290719,254.3959869,183.5207904
P562-PWY: myo-inositol degradation I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.54710734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.35666041,0,0,13.74136858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P621-PWY: nylon-6 oligomer degradation,30.03541939,0,0,0,0,0,0,0,20.17264564,13.02444102,0,54.15730376,89.31795758,0,0,201.5745858,0,0,0,0,0,41.30698336,0,37.4034268,33.35668179,28.27962639,0,13.13379088,0,0,0,50.26312189,0,0,0,0,0,0,0,0,110.8173548,0,0,0,9.70443022,0,28.80866152,0,0,0,0,0,0,132.0103978,0,0,0,0,0,0,0,0,0,22.8094205,0,0,0,17.59939774,123.6292058,154.6528443,0,27.30536063,0,0,0,0,0,0,0,0,0,0,0,0,0,38.16953727,17.10197466,134.6076348,0,0,0,0,0,15.66154681,0,0,0,57.27157238,0,0,0,0,0,0,0,21.20705029,32.15432536,0,0,0,0,0,60.63469675,0,0,0,0,0,0,28.16538634,0,105.8393125,98.57086926,0,88.69778471,44.86468398,0,106.9870993,112.8586036,0,0,0,0,0,0,31.55749262,14.54999421,0,84.50093696,0,0,0,0,0,0,20.55888659,0,0,0,0,0,0,0,0,0,0,0,0,0,747.1433407
PANTO-PWY: phosphopantothenate biosynthesis I,706.4196167,1698.268833,308.3992551,1605.104783,1495.230341,479.5335798,1435.700827,1663.274771,2040.30509,1507.688761,1579.903777,1858.563232,1120.218547,1209.430882,1383.643955,1037.409038,773.7132243,1124.215574,1210.93967,1343.108601,1379.8664,1201.691837,1210.01208,729.4157628,689.1691054,1604.129838,1002.229536,2138.009971,1380.956517,1114.939386,1122.170962,2290.431897,873.5577675,1360.243596,1553.213808,1124.473161,1578.124458,1739.783457,848.882652,977.301307,1217.445427,1352.892524,990.3562149,2373.166231,1150.38973,1646.921725,1989.498995,2551.785606,1160.091328,1335.25233,1871.869419,1908.033925,1055.522135,1665.896999,1261.437158,1585.499441,1775.605019,1302.404673,1186.884093,1726.938461,697.6231448,1130.98079,1344.396216,1017.915978,1482.661014,1127.025673,1983.777816,2957.733211,1225.763395,798.3945315,1977.604483,2735.291283,1209.091987,1427.178138,1239.954471,1745.014971,1085.614154,1598.590164,2600.029084,1637.507843,1388.397798,927.0121789,1174.176458,916.8021616,1125.737022,1117.384717,1734.47253,1644.501268,1531.576569,1916.291806,1477.589573,1727.147644,1539.534528,2282.571607,1148.658643,1546.102131,2261.310104,2744.142267,1992.634379,1459.976906,1012.90742,1399.092876,2029.620881,2271.409167,1959.627882,2360.01653,809.9463773,1250.514956,23.22639955,718.6883561,654.0375206,582.4685929,1121.473899,1214.707359,902.9423659,1363.777206,1506.156115,1085.224943,462.4865564,1264.07141,1095.892877,770.4860877,1084.146366,733.4713487,1123.6599,1378.433671,1038.349026,1154.820901,1213.317571,820.7262297,20.67052823,1328.548041,673.712395,923.5812755,1230.322038,2159.27302,1964.384753,1279.003504,1038.799574,612.670414,1182.243199,881.0600438,1036.21642,1128.809732,762.7797496,815.786156,654.3753122,586.1999201,185.7912648,1623.544534,929.0645972,1050.054931,908.3536091,649.4416782,1375.090627,970.6692852,994.8076594,614.5417798,963.3064203,1269.946894
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria),793.6540869,1881.183641,447.7323965,1680.646941,1663.168786,530.3929331,1543.118841,1462.872032,1921.501304,1469.041471,1623.317054,2085.923751,1159.104507,1354.993568,1327.138026,1271.491782,835.7739475,1175.204488,1271.426562,1435.656756,1484.066539,1344.312132,1367.946046,815.6187585,814.6262246,1719.17865,1070.423396,2368.732593,1513.100984,1156.45415,1190.574537,2484.017741,1071.061641,1486.916336,1720.303159,1214.751549,1715.63198,1937.35949,869.0167611,1075.431311,1353.882803,1464.866591,1105.274011,2067.595952,1345.985019,1816.722549,2164.81219,2621.19226,1235.52553,1633.721502,1588.503473,1994.816948,1134.030415,1754.323985,1199.661407,1583.720234,1728.885341,1361.623026,1315.494748,1776.689297,726.6964451,1273.172586,1545.468872,1108.063687,1584.996212,1181.795329,2182.912995,2789.696753,1393.615445,1062.129443,2063.971869,2966.345213,1363.900339,1541.725724,1448.055131,1865.265773,1249.241469,1563.837282,2641.875323,1778.640811,1443.333239,1010.92487,1391.673176,1058.882111,1191.459013,1126.364918,1906.064527,1801.353727,1479.55352,2034.63429,1551.514584,1870.917426,1597.87597,2389.03503,1331.471479,1603.939065,2341.068537,3081.69979,2126.236425,1563.76348,1176.503765,1525.105419,2092.463049,2351.645911,2052.156327,2160.84802,948.454784,1311.556065,0,798.8760507,735.4459726,668.8202537,1207.560463,1326.866661,1041.56974,1382.525542,1597.538902,1100.560863,497.9744467,1308.874784,1135.694036,829.9307015,1220.49939,729.1734427,1228.846749,1459.635789,1053.109239,1243.368694,1154.280068,865.209926,0,1355.842616,738.117183,1010.799288,1264.844203,1750.273854,2137.505877,1496.490993,1127.060068,652.8679967,1144.013305,936.4017929,1124.883733,1239.480338,857.6794064,923.5416324,680.6292507,593.889714,211.7446822,1404.740546,1001.427908,957.0979907,1006.500306,732.3613764,1387.699003,1113.733049,1106.275651,663.8048871,1043.81442,1378.141006
PENTOSE-P-PWY: pentose phosphate pathway,762.7345091,763.4200001,764.063308,578.5045779,764.2413487,139.5639965,721.175638,1364.802088,1830.856668,1295.670253,646.2887276,290.0101736,532.2805869,371.4982655,948.3708151,588.0468164,510.5220412,230.7617098,354.9344128,944.684734,113.6920442,560.5845085,271.127475,1117.155714,267.9080991,580.7937656,1030.797361,827.1909418,750.1399319,826.0003821,625.7411639,1059.860752,638.9025574,307.5601279,821.4532435,525.6405791,710.9931106,723.7499219,173.9730498,168.8958765,846.8445151,106.5233509,313.8702792,2323.552646,255.7375591,909.6122834,523.2856169,690.2757272,890.7991981,996.8057907,1112.49373,621.5310661,746.5495528,1093.0653,140.6351717,1203.750981,846.4071207,336.4980747,306.8855647,821.0857429,194.0457596,467.3739505,454.7587521,741.1143222,520.5530709,471.7034951,651.0695895,3159.458829,284.4153905,538.4483796,972.5622354,900.7733414,215.6761788,186.8259636,358.359192,1149.379125,774.8616451,754.8194083,1944.164612,856.4576909,677.0701933,396.6458106,182.4386481,562.1453373,614.5490296,747.0241182,629.7496029,1127.107488,649.0637399,537.4059025,525.3087441,556.2922299,245.337139,1161.228848,576.9709284,311.9970145,1163.083435,1039.039479,876.8467957,659.490852,626.2490416,416.4467643,1442.334583,538.7481736,703.5521006,1733.804405,198.2178771,403.5823223,0,633.7152655,130.6119726,257.5429246,947.8460814,837.1324622,440.8753725,835.543077,116.261804,109.1262842,245.1439673,724.8280147,566.2003135,558.4083352,1161.719237,356.4710748,617.1235554,634.5535131,1329.982949,558.3133772,613.1713864,425.6345155,0,704.1681639,184.1704662,390.1249347,794.8730359,2384.89732,639.3120884,530.8794265,657.5429574,238.1172076,847.9789831,401.5058862,154.0974283,608.630548,468.1067662,214.9725854,230.1761779,99.58571072,63.78824089,1291.521983,268.7303614,877.425595,185.7128526,345.7535192,356.6192087,376.9869762,349.8517384,182.9162564,1014.068941,850.7799607
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing),1525.325367,2361.581115,1675.15784,2816.503649,2335.946338,1000.293268,1919.86223,2132.391296,2969.583512,1837.666779,2028.427144,3040.222398,1568.280214,1962.060718,1879.697409,2426.950354,1429.942324,1831.744857,2207.402333,1895.353948,1876.008724,2228.701588,2553.708136,1780.546109,1543.715206,1994.165329,1671.682373,3239.1423,2394.932079,1323.968388,1968.466601,4052.982157,2604.182024,2170.341128,2819.861938,1764.012542,2161.761508,2736.48053,1532.789814,1663.134852,1940.194422,2004.752072,1765.878616,3184.015611,1964.655748,2449.431445,2736.272065,3196.28907,1793.82596,2751.056718,2164.073768,2800.884329,1643.487076,2503.623378,2113.814389,1925.231338,2382.790791,2049.10961,2091.889523,2299.613514,1180.595389,2321.175939,2219.641689,1598.432344,2264.817529,1783.345513,3007.674803,4111.183808,2160.241669,2717.125571,3509.078961,3936.578886,1966.387956,2190.299442,2316.128144,2439.613173,1976.085121,2491.733387,3384.600087,3070.488836,1941.337213,1398.068309,2283.504792,1834.820557,1852.268876,1628.268203,2700.737195,3073.076984,1886.669863,2777.554242,2174.672736,2547.264183,2155.186221,3139.870582,2123.102011,2240.669394,3520.13185,3956.144697,2901.232125,2116.485346,1995.126357,2416.887694,2920.786198,3101.503223,2942.085902,3145.455343,1575.922445,2373.642067,12.67707709,1479.393976,1394.4325,1174.649648,2029.336216,2007.798338,1982.296572,1724.73758,2577.623135,1772.480273,1068.661697,1851.509661,1764.609428,1598.916016,2426.006052,1057.212912,1927.034167,2203.093616,2052.629009,1839.301597,1646.064852,1445.054771,32.30597098,1744.709644,1126.282211,1515.722131,1695.890921,2724.45792,3654.806419,2525.901158,1608.624266,831.75925,1782.7222,1778.743052,1568.173901,1843.616073,1353.671511,1462.893024,1205.103728,1386.348195,370.8334207,2204.14427,1366.189291,1501.347627,1531.522744,1088.986823,1848.932234,1918.535765,1635.821056,1113.876859,1658.276184,2071.671969
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria),547.6623815,797.3412864,237.4093177,784.9189797,1041.028714,238.4145866,689.770311,1450.75122,1298.28957,1533.846852,325.1548665,707.0131254,475.8266651,405.5725245,1126.652443,871.4479681,382.4531641,283.9114132,353.0009871,371.6881273,562.0271347,715.7149956,447.4455907,0,373.8620076,552.0686709,662.3887348,1069.46954,711.8780927,902.0709818,591.2459627,1331.229137,394.39326,860.6149484,1050.562246,243.8980107,956.7997427,755.380982,198.1574086,168.6200258,922.2887829,627.929779,437.3819566,2047.425602,685.5822953,672.7936782,627.0558294,1498.419215,1117.316211,545.5437771,1588.937466,1086.332375,589.7011942,1269.855784,422.307992,967.4876096,652.66812,474.5701178,660.5708061,640.3216746,192.1238531,508.5404828,962.4874889,772.9661186,584.5828047,944.5999436,655.9560165,3621.381484,589.3433357,402.6235132,885.5306198,891.3755042,798.8971725,466.700322,560.9994315,1100.341351,645.0153854,889.36107,2412.034636,907.4319401,692.3030017,432.6806604,337.0387059,476.6005199,772.5946918,980.1790542,808.9276161,558.1029719,554.8396559,940.081581,532.6676508,693.3322812,925.3273669,1332.02428,484.4655008,466.393402,1404.557656,732.5121602,783.3670551,599.1247761,737.8047188,613.3761971,1650.896035,970.8424953,1090.924595,2432.337725,214.6277666,288.016124,0,642.4605707,205.8795557,315.6972798,560.667914,775.5918073,405.0248532,632.9992672,808.6688893,219.1148666,71.69847087,992.1650724,822.9165847,598.4383589,624.7004186,380.6099418,518.2487931,566.0264667,1106.84856,650.4350743,1022.647398,521.4499179,0,560.471588,237.8805871,294.5862413,937.6621443,2106.800232,542.5453982,622.6635038,792.9382058,442.7545056,1263.421265,275.8185395,289.3860129,557.5330286,202.1278179,419.9906758,605.7097194,637.3065665,164.3183618,1498.921057,366.543223,780.8842258,123.8682138,217.7950481,426.6406075,950.0747929,216.4720484,53.08489333,692.072184,387.6807874
PHOTOALL-PWY: oxygenic photosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.179549178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.013502489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II,0,46.89679782,35.3039869,102.394803,0,0,0,260.4764468,86.09075798,53.34728358,0,27.0026247,0,20.05550265,169.1051389,24.85900613,71.52668752,87.59637232,0,67.01108958,16.21185065,58.94539189,66.47743095,0,0,52.97400818,0,0,0,27.54216339,0,199.759136,0,66.40970612,117.5733627,0,0,51.75019705,55.31505872,29.88493733,0,0,39.47138521,171.4070302,0,0,0,168.8772911,136.8082762,183.7385009,325.2233918,195.2173583,12.75176227,222.6197244,0,129.8873039,40.27790032,29.71750308,0,59.79921846,0,43.12216055,70.30727475,0,33.75608928,31.34092748,30.9697187,0,0,0,0,91.10168945,53.15435807,0,0,69.45591652,0,84.26768965,534.1909066,53.07193109,0,0,43.56119778,114.1400219,57.60334578,25.29863981,0,0,14.00008762,13.2006947,0,24.57349928,95.97822534,0,92.03148044,0,35.64193529,13.5753163,0,0,0,0,259.5838926,0,98.47554101,52.10395123,0,91.5690249,0,0,0,0,0,0,67.31218359,0,141.5141307,0,0,80.88335839,28.78846256,0,40.48154056,99.77131225,36.35138527,0,0,0,133.9242082,35.99303855,0,0,47.02594903,0,0,0,40.30452237,63.82874511,0,0,111.7343303,0,31.24357151,135.7485546,0,0,48.36870176,0,0,84.7104116,0,46.40634986,73.08223967,36.9334716,99.64072152,0,78.8463933,0,111.6245505,0
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I,139.410205,109.7800895,58.78196119,106.6391335,80.23830121,0,95.62568765,515.699756,385.0025559,537.4149036,139.1406757,187.8433911,52.25490154,42.09801354,452.8558502,91.26627789,122.9755869,116.9619242,49.00056503,66.21902522,163.0019843,245.4115046,224.4162905,0,164.1021731,124.8709293,43.93656441,209.3152437,89.4096718,155.3057881,58.72583908,273.8284329,122.5162011,88.4723295,352.4732361,136.1091421,102.7376331,153.4089902,102.3800319,74.72919852,0,50.1595362,214.4860694,1465.800597,124.8003719,62.81367721,164.1247358,187.6253221,287.5013149,250.6751904,704.834925,377.5138229,68.9466315,350.4267586,0,318.2449161,62.2840538,77.523522,106.3245573,169.6919783,38.80982548,107.1753381,68.2491579,48.71408948,57.69982656,37.7655463,215.0946348,1905.974926,162.4259567,87.69293095,81.00710425,130.2497875,97.93453897,18.67076556,104.6047587,296.8846673,37.07738578,431.9746514,1101.881013,219.9612655,65.49797474,0,75.36569346,167.412912,62.51951078,448.0213235,208.1019053,20.03609623,14.03467858,42.66873653,155.2067629,84.21521351,179.7881153,402.7304147,147.8616308,190.6374389,644.490926,169.8697424,254.0382798,121.879025,252.8146825,93.51819121,513.0393123,0,119.4529672,1121.110199,39.43188481,141.5343899,0,59.84980486,28.87215995,77.03788461,200.163887,27.61187912,211.1411157,178.820334,181.1473865,26.59827496,31.65831893,467.8207074,436.9526823,33.76794505,74.5489746,145.423718,56.10913434,219.0463099,535.4955972,112.3027759,244.1156096,96.52347786,0,0,107.7984943,0,62.85249829,1146.807774,132.8779385,386.3398938,101.3712892,0,643.1969956,86.18060104,112.8887672,157.5482439,61.46748003,0,143.9762377,67.10602819,0,539.4549371,41.24028594,367.188724,148.4308511,82.03250357,166.1043041,31.43116057,127.5491708,33.23357757,259.7410378,66.50736129
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli),177.6706951,334.9598818,100.4042572,87.03011992,351.9997074,52.42423723,435.1826418,531.2326773,654.3504737,495.8835137,721.6827553,349.3841656,95.47771055,82.62475293,438.9077012,132.917842,95.64671995,97.1746883,71.32496911,136.2789371,43.62019328,190.8223827,146.6362635,325.6016561,110.2922285,467.2600806,154.7853789,326.4772852,234.7070426,369.0908684,268.2115375,486.4709954,66.49425616,74.50799693,334.0435683,461.3726997,337.7218638,314.320541,154.0016785,72.58450368,813.8326613,131.3958215,125.0432744,1120.637632,99.66483406,301.0731472,190.6563443,482.07627,543.1296859,185.1441531,637.6849363,187.1794181,277.1532742,591.2891871,32.3209273,691.7639815,257.3906794,189.5035194,301.057297,288.5775138,192.6100185,207.860049,389.3711579,328.0257885,161.2535139,292.9708498,199.8157747,1901.951278,186.5098773,277.1152051,577.9317284,661.882641,0,0,277.7207077,351.9780257,207.106623,353.7272121,933.4387021,242.9474383,158.6951333,68.99882283,138.5832015,333.249854,114.4819797,333.6506318,327.782048,37.31391811,321.0317781,201.5686567,156.1121424,438.8998262,197.1330855,652.8127294,343.8591824,205.7456578,500.0708186,236.1463996,588.5707273,484.5791313,178.8925628,298.1253767,501.2494276,0,245.8208366,890.417663,130.4654686,167.6048921,0,209.2907283,102.5879494,121.4125359,211.1280868,327.5327187,0,330.4409879,56.89770253,0,63.43495286,247.8872818,440.7104769,197.1730594,402.0502117,242.1819646,44.36573554,416.4761725,605.2717029,158.5931519,302.5410839,212.5801528,0,378.8655616,92.92873098,107.2530983,87.87563192,1027.335779,297.0438565,152.6896744,318.5216161,62.1896088,481.214928,170.3886055,111.1167998,274.831895,87.11745676,140.5255796,209.0643128,69.27933652,70.00990512,833.9154932,105.3605812,353.7639105,107.1096336,51.61219779,218.7328615,18.76218669,178.2511605,122.1179099,287.1682822,189.2366725
PPGPPMET-PWY: ppGpp metabolism,51.3198861,158.1768452,41.57799465,277.6749627,129.5607867,96.66365547,130.2876384,40.58650712,28.76081759,79.68921485,81.68020385,315.9406643,0,159.5731509,86.62612618,245.5855297,146.1188669,133.426414,271.3685071,70.11362834,230.808954,237.4831567,151.7704986,0,0,226.7649695,0,486.0293559,415.3048547,75.07589899,35.39417544,407.4879055,150.1636587,215.8137602,199.7326597,175.5364434,114.4225786,172.6132288,123.0772656,292.9543289,153.1960245,219.8627131,102.1472082,568.739525,259.3146098,144.993869,209.7234431,484.5231204,253.833376,73.47554893,140.6958411,126.1376906,105.0509461,258.8280624,148.5746759,27.44161772,31.9307511,176.5904807,171.1682078,65.72067428,75.37664177,34.978701,160.3685641,113.8301532,228.1269056,79.82616565,230.6781034,544.9566045,176.1151322,29.50667684,223.3751836,331.9095314,180.4889965,136.0893985,106.0060014,149.4631074,286.5499272,103.3464349,279.0920281,234.5942809,95.55997758,0,156.8082044,145.5633155,104.4588445,19.00981438,167.6313446,297.3440505,236.6577495,464.2752548,197.9875562,163.329072,27.78224105,121.8322888,327.7972186,159.2104345,104.0034472,214.2667148,190.3612316,59.74949963,88.70315732,215.4568429,399.2971642,690.427562,390.5165732,165.8065651,29.97545329,112.7588899,0,155.3182017,39.902826,103.6573059,73.4205174,143.3019668,151.2167906,283.4703818,310.7121753,266.2611497,25.76747299,245.2663352,177.5579279,24.80715113,150.2390902,75.64828712,239.9626288,177.7380057,39.95492577,292.5368312,127.6808431,58.05544907,23.60321883,195.6235219,154.1331566,79.29828721,54.16340745,290.6563524,283.1435219,239.7783186,64.51230255,76.70173272,68.38149203,35.85067604,148.9077324,152.5051343,338.1921317,106.8097072,79.86685005,161.7304866,0,217.3407505,134.4075028,272.3335774,97.79563853,101.893693,113.9859026,45.51256763,139.235857,39.19807782,127.976823,157.5077142
PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction),0,0,0,0,0,0,42.35888636,0,0,0,0,0,0,0,0,0,0,22.78336923,0,0,0,0,0,0,0,0,0,0,0,0,28.00343387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.48796364,62.52610741,0,0,0,0,51.05364453,0,0,0,28.50993234,0,0,0,21.05877907,0,0,0,0,0,32.73078555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.77899902,0,0,0,0,0,0,0,0,0,0,0,0,0,27.89081823,0,0,61.47830643,0,0,0,0,0,0,18.06480516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.77964375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway),0,0,0,4.441167214,0,0,0,0,0,0,0,0,0,0,0,34.30423275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.02305781,734.2516245,0,0,0,0,0,0,0,0,0,22.6088388,0,7.704196888,0,0,0,0,0,0,0,0,0,0,0,12.6605074,0,0,0,0,0,0,0,0,0,0,181.9367159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.13472592,20.81021145,0,0,79.66427224,142.6160108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.14665227,0,0,0,0,0,32.03055724,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis",143.5915628,0,0,0,0,0,0,355.3551108,519.7829218,549.1552317,0,0,0,0,306.9478187,0,86.17568195,0,0,0,0,161.6135724,0,0,0,0,0,73.63946693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.4027749,933.0163474,72.67080694,80.56123421,0,587.176414,0,0,401.0834161,0,0,547.69878,0,197.1521966,0,0,0,0,0,0,0,0,0,0,0,1275.617413,0,0,0,0,0,0,0,0,0,415.2998876,1057.151667,0,0,0,0,0,0,323.4360055,0,0,0,0,0,0,0,0,0,0,423.8481338,0,0,0,64.25383209,0,435.9192481,0,0,839.4801773,0,24.09943211,0,0,0,0,135.199077,0,0,230.2558993,0,0,0,226.8931359,209.7356471,0,0,0,0,0,497.8171903,0,237.4539781,0,0,0,0,0,0,911.4896187,0,99.63598893,0,0,411.0388329,0,0,0,0,0,101.2133524,0,0,642.3210852,0,254.6658103,0,0,0,0,0,0,175.5180759,0
