# Pathway	PD_100P_Abundance	PD_104P_Abundance	PD_105P_Abundance	PD_107P_Abundance	PD_108S_Abundance	PD_109S_Abundance	PD_10P_Abundance	PD_110S_Abundance	PD_111P_Abundance	PD_112S_Abundance	PD_113P_Abundance	PD_114P_Abundance	PD_115S_Abundance	PD_116P_Abundance	PD_117_Abundance	PD_118_Abundance	PD_119P_Abundance	PD_11P_Abundance	PD_120S_Abundance	PD_121S_Abundance	PD_122S_Abundance	PD_123P_Abundance	PD_126P_Abundance	PD_127S_Abundance	PD_128S_Abundance	PD_129P_Abundance	PD_12P_Abundance	PD_130S_Abundance	PD_131P_Abundance	PD_134S_Abundance	PD_137P_Abundance	PD_138S_Abundance	PD_13P_Abundance	PD_140S_Abundance	PD_141P_Abundance	PD_142S_Abundance	PD_145P_Abundance	PD_146S_Abundance	PD_147_Abundance	PD_148P_Abundance	PD_149S_Abundance	PD_14P_Abundance	PD_150P_Abundance	PD_151S_Abundance	PD_152P_Abundance	PD_153S_Abundance	PD_156P_Abundance	PD_157S_Abundance	PD_158P_Abundance	PD_159S_Abundance	PD_15P_Abundance	PD_160P_Abundance	PD_161S_Abundance	PD_162P_Abundance	PD_163S_Abundance	PD_164P_Abundance	PD_165S_Abundance	PD_166_Abundance	PD_167P_Abundance	PD_169P_Abundance	PD_16P_Abundance	PD_170S_Abundance	PD_171P_Abundance	PD_172S_Abundance	PD_173P_Abundance	PD_174S_Abundance	PD_175P_Abundance	PD_176S_Abundance	PD_177P_Abundance	PD_178S_Abundance	PD_179P_Abundance	PD_180S_Abundance	PD_181P_Abundance	PD_182S_Abundance	PD_183P_Abundance	PD_184S_Abundance	PD_188S_Abundance	PD_189P_Abundance	PD_190S_Abundance	PD_191P_Abundance	PD_192S_Abundance	PD_193P_Abundance	PD_194S_Abundance	PD_195_Abundance	PD_196_Abundance	PD_197_Abundance	PD_198_Abundance	PD_199P_Abundance	PD_1P_Abundance	PD_200S_Abundance	PD_203_Abundance	PD_204_Abundance	PD_205P_Abundance	PD_206S_Abundance	PD_207P_Abundance	PD_208S_Abundance	PD_209P_Abundance	PD_210S_Abundance	PD_211P_Abundance	PD_212S_Abundance	PD_213S_Abundance	PD_214S_Abundance	PD_215S_Abundance	PD_216S_Abundance	PD_217P_Abundance	PD_218S_Abundance	PD_221P_Abundance	PD_222S_Abundance	PD_223P_Abundance	PD_224S_Abundance	PD_225P_Abundance	PD_226S_Abundance	PD_227P_Abundance	PD_228S_Abundance	PD_229P_Abundance	PD_230S_Abundance	PD_231P_Abundance	PD_232S_Abundance	PD_25P_Abundance	PD_26P_Abundance	PD_27P_Abundance	PD_28P_Abundance	PD_29P_Abundance	PD_2P_Abundance	PD_30P_Abundance	PD_31P_Abundance	PD_32P_Abundance	PD_33P_Abundance	PD_34P_Abundance	PD_35P_Abundance	PD_36P_Abundance	PD_38P_Abundance	PD_39P_Abundance	PD_3P_Abundance	PD_40P_Abundance	PD_41P_Abundance	PD_42P_Abundance	PD_43P_Abundance	PD_44P_Abundance	PD_45P_Abundance	PD_46P_Abundance	PD_47P_Abundance	PD_48P_Abundance	PD_4P_Abundance	PD_50P_Abundance	PD_51P_Abundance	PD_52P_Abundance	PD_53P_Abundance	PD_54P_Abundance	PD_55P_Abundance	PD_56P_Abundance	PD_57P_Abundance	PD_58P_Abundance	PD_59P_Abundance	PD_5P_Abundance	PD_60P_Abundance	PD_63P_Abundance	PD_64P_Abundance	PD_65P_Abundance	PD_66P_Abundance	PD_6P_Abundance	PD_70P_Abundance	PD_73P_Abundance	PD_74P_Abundance	PD_75P_Abundance	PD_76P_Abundance	PD_77P_Abundance	PD_78P_Abundance	PD_79S_Abundance	PD_7P_Abundance	PD_81P_Abundance	PD_82P_Abundance	PD_83P_Abundance	PD_84P_Abundance	PD_8P_Abundance	PD_9P_Abundance	PD_Extr_neg_plate1_Abundance	PD_Extr_neg_plate2_Abundance	PD_Extr_neg_plate3_Abundance	PD_Extr_pos_plate1_Abundance	PD_Extr_pos_plate2_Abundance	PD_Extr_pos_plate3_Abundance	PD_Lib_neg_plate1_Abundance	PD_Lib_neg_plate2_Abundance	PD_Lib_pos_plate1_Abundance	PD_Lib_pos_plate2_Abundance
PWY-6309: L-tryptophan degradation XI (mammalian, via kynurenine)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.9672255503	0	0	6.5990457950	11.3835562128
PWY-6317: D-galactose degradation I (Leloir pathway)	808.4304911698	1951.1323136662	1062.8629505263	0	2240.9387503193	2036.0601251526	467.9645814021	1277.5130095186	1064.5034671514	0	1630.4406358975	1156.1936524282	1754.3641061901	2367.5538530106	1236.9548887885	1429.7435306803	1164.2582568434	1520.1964239085	999.3531245140	741.8934413547	1090.3733182839	1043.1298694947	949.9406501196	1505.8805704469	1860.7649592231	1062.6790811342	979.9656306502	1376.8971395304	846.6362378571	2555.0539498974	1737.8032928640	787.6040751105	1192.2540342570	2927.4159613289	1829.4338024478	1843.2010805327	1847.0873972464	1114.7149385647	1739.1201750444	2141.4018918618	597.5995521658	1076.9249998424	1430.3118986209	1503.3871138614	1073.5057063077	2385.4548869000	1566.2691384300	1676.9565419299	2201.8135290193	2915.6143143490	1362.1170615374	1614.0085228101	0	1652.8031915379	1817.1923150185	1162.7893432080	1521.8574551700	1291.4025630181	985.7733549206	875.2426915156	1543.7771088433	1438.3253534536	1473.5510438611	676.4279774358	917.1951002652	2068.2098715540	791.7168073740	1663.5131334981	1051.5205167282	2145.3508516123	3622.9811160175	1848.2239506918	1577.8543732877	0	2189.0429950566	3507.4405192747	1524.1895870734	1580.8796410441	1719.8812043497	0	0	1425.0948731417	1503.7612210096	792.7300477937	2418.5733558917	1494.3362997600	1250.2747367187	0	475.3511978233	1430.3426729941	1086.2780091868	521.3747366308	935.4492984249	1725.4560166963	2265.1499787173	1357.8110631619	2490.7035311162	1500.0492979826	0	0	2047.2812100571	1336.2887385770	2531.1288033307	0	0	0	1517.0972723563	1668.6141973544	1763.4451558295	2990.0034209236	2265.3767241314	1447.5215931121	1335.7090251697	1635.8131169631	2168.5161591567	2565.8870505054	2320.7304382387	2160.6023504243	912.0229449600	0	1075.4463569573	0	869.6952575268	654.6671345094	887.7798309931	1059.6685539517	1318.1025198764	1152.3219857081	912.7125552750	1916.3733108412	0	1765.8648087778	353.3992757876	1185.3220682155	1461.6889396166	777.8503883879	1721.3027019782	745.9483078931	1388.1280031646	1483.6963293546	1093.6908927075	1119.1339180789	1197.0077130020	939.9439579100	33.7926093817	1292.7279850981	573.3443668470	769.6049949196	999.7370863983	2073.3476539211	2539.3928657202	1392.3757067795	1011.2696785685	407.0981851587	1241.6606957210	730.4666669122	1107.3749271722	1200.4284450293	758.4547321493	1251.6980737143	757.6651243796	924.2031738413	246.3289209128	1767.3890104359	1027.5566054799	750.4922735546	848.2538262937	625.2702693482	1305.2435645666	1479.3706996612	0	1184.0315474865	0	300.1971899370	1415.6564381242	1707.0649106374	0	0	0	0	0	3481.5991836907	0	0	2317.2198077876	2330.1671347053
PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)	0	0	0	0	0	0	0	0	25.1713641142	0	19.2590929782	15.4332820448	0	0	0	0	15.3974262103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.8726462657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.4528265874	0	18.1659409994	0	0	0	0	0	0	0	0	0	0	0	118.6558939774	0	0	0	0	0	0	0	0	0	0	0	0	7.1489782725	142.7199105668	0	0	0	0	0	7.6024911251	0	14.4823613002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.6739055406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.0733243209	0	0	0	0	0	0	28.6731051675	0	0	0	0	0	0	0	0	0	0	0	2.6016475133	0	0	0	0	0	0	0	0	0	0	27.8149017253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301.6538815968	0	0	129.1441061292	119.2404113409
PWY-6328: L-lysine degradation X	8.9651956979	0	0	0	23.3470614984	0	0	0	85.6919121696	0	47.8499834457	108.5894169475	0	0	0	0	38.7899492862	0	0	0	0	0	0	3.3024899877	0	0	5.1423099179	0	0	0	0	0	0	7.0952895797	0	0	0	0	0	0	7.1799540682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.5553328188	0	57.0534737893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105.8894184676	30.8784426998	0	0	0	0	3.9024952050	0	26.7713244910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.9236349667	0	0	0	0	0	0	0	0	268.3822224967	0	0	0	0	0	0	0	18.1807303986	0	0	0	0	0	0	0	8.2337350546	0	0	0	0	0	0	62.4783937837	0	35.0127283856	0	0	0	9.8214800877	0	0	0	0	0	0	0	0	7.5632513573	0	0	0	0	0	0	0	0	0	16.9623150495	0	0	0	0	0	0	0	0	58.0068628920	0	0	0	0	0	0	0	0	0	0	0
PWY-6349: CDP-archaeol biosynthesis	68.6810937660	0	0	0	0	0	51.7587741008	0	39.1003283855	0	0	0	0	0	97.5848837738	12.8538826611	0	91.4995684793	71.9167976007	458.4851633592	79.9916744101	0	368.7783744014	0	62.4078850872	0	0	0	0	0	0	0	0	0	0	0	135.0507392786	60.9455543550	0	42.7233378907	141.6222368583	0	0	0	142.3932515668	35.5418422434	0	0	0	0	0	40.0855106573	0	0	0	0	56.2554794325	12.7163601421	0	165.5421362065	64.4018764455	43.5550831863	0	45.4552639999	176.6856151200	28.8678245896	0	130.7778341710	0	0	0	0	0	0	0	0	23.3081524335	0	85.2406997860	0	0	0	0	589.0833730626	0	47.8134591732	0	0	51.0144561395	0	134.9181346953	75.4576201969	0	0	0	0	0	23.1540021635	0	0	0	8.1265033095	0	0	0	0	123.5311057626	47.0238155455	159.0548923271	0	0	0	0	24.3383547816	0	0	0	0	0	0	77.2745831251	0	37.3274922466	0	0	0	0	0	0	0	0	0	66.6367931595	0	0	0	0	32.9657083379	64.3905676700	0	131.8416733037	0	0	0	0	0	64.0737124950	69.8694347661	0	0	151.7363054147	0	114.2874651435	0	41.7398630220	0	0	38.5367191516	0	0	0	0	0	0	29.3487595080	0	54.4074546275	110.7987667127	146.2526618165	0	0	0	0	143.4486122174	31.5254080015	0	0	0	0	0	0	0	0	0	0	0
PWY-6350: archaetidylinositol biosynthesis	44.9343557872	0	0	0	0	0	33.2875648517	0	34.8403121564	0	0	0	0	0	89.9296319395	10.7174953299	0	80.9511015008	57.6910950720	381.3198921222	60.2263799922	0	354.6266371460	0	54.3391706362	0	0	0	0	0	0	0	0	0	0	0	124.6591026405	39.7954227087	0	23.5727773024	129.4232248119	0	0	0	107.7485811297	29.0996196859	0	0	0	0	0	28.6120837213	0	0	0	0	52.0434655644	0	0	152.0054059499	58.5339813520	36.8458295287	0	39.8601379080	143.0641974156	17.2405853225	0	120.9395904022	0	0	0	0	0	0	0	0	17.6173617054	0	77.3595811884	0	0	0	0	560.2567804481	0	42.3832231429	0	0	46.3279288467	0	98.4797767553	62.0918722051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.3851956588	0	147.1763926970	0	0	0	0	0	0	0	0	0	0	0	70.7191926241	0	29.1534819250	0	0	0	0	0	0	0	0	0	58.9741901851	0	0	0	0	26.6504964989	58.8837122456	0	117.9903898680	0	0	0	0	0	59.5263608725	64.5541322733	0	0	134.9034771974	0	107.5780854754	0	27.4326538170	0	0	31.7586995645	0	0	0	0	0	0	19.3657280788	0	42.8222376828	104.5911710444	129.8249993820	0	0	0	0	137.7041765058	26.2562614491	0	0	0	0	0	0	0	0	0	0	0
PWY-6351: D-myo-inositol (1,4,5)-trisphosphate biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.3965906588	0
PWY-6352: 3-phosphoinositide biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.0949798503
PWY-6353: purine nucleotides degradation II (aerobic)	359.5677614223	521.8062242333	277.6372957452	0	825.8503316406	448.2580504594	96.0632466692	517.7589212407	1124.6584485314	0	1144.8222379486	912.7871761111	449.2107367942	651.4077329306	287.1155156228	455.6508623062	954.7485757964	580.3175629717	460.3005413722	342.3115333883	537.9133688006	253.0919899037	480.5690730064	561.0173058787	446.1140786763	0	616.3579180470	513.4052533292	531.4611039499	1001.1174600031	762.7094246037	457.4423803305	90.4621439504	887.2342995276	344.2130554790	692.1304550473	394.3692535792	335.0080898654	422.7170712992	710.5377919184	358.9514146892	155.3172269937	299.3327713794	712.5241383584	502.5045221637	399.0817019644	491.0236963903	512.0395795416	611.9921150153	662.7162157704	741.8054312162	397.6873009009	0	1103.3280463203	937.6774282581	197.0797491611	192.7728140168	435.1011428583	572.2045406815	216.3728843131	570.2998504427	377.3918951045	426.8232823611	248.5343650232	324.7744294367	493.9113111042	257.6593369948	644.1888206114	163.0705923596	525.0840202782	3333.4283143211	557.2814182263	252.9865367248	0	533.2225947522	876.7467683403	555.9305785666	349.4617602787	450.8641103755	0	0	611.0521802728	375.3273886542	520.8893144864	1862.1406804779	574.9519503856	280.8802061853	0	0	410.8106160786	329.4616539727	242.8955356410	865.5065067469	484.8681004134	248.6418390830	467.5336187324	958.6258930951	509.5822241025	0	0	628.0520214278	297.5766886732	880.7979254311	0	0	0	462.6781540495	671.2171854292	1276.8501009315	934.6265770864	513.5454123808	446.8380297084	424.3142734219	350.4206759440	1419.1272368078	935.4476093176	830.0075238383	2197.2641651779	134.1872497847	0	487.9951888125	0	93.9171356556	210.5777462260	115.4484385930	332.3334873317	392.5272064630	316.3290311003	425.8741862573	747.0972689116	0	547.9200761884	80.7127604202	525.2420515831	844.2301655124	189.9501876778	368.0106386539	284.3316774871	600.3234374582	219.8155902548	907.9245702525	458.6062783819	775.9352279256	272.4236731314	28.8579637301	496.6086668681	163.3199304123	162.1616070789	35.2035253859	1594.4552986664	827.2672840941	549.6305004879	393.4773316027	50.4823871319	1025.4410978881	380.4749620180	438.1080587035	385.0386457849	424.9542722639	164.6106970013	298.2799739638	136.5587830131	36.9619841766	1119.2102293859	266.8784509759	681.3777059172	296.9940959111	294.5571132100	798.1487306147	0	0	311.1972506497	0	197.4360992918	432.5516364028	145.0805603675	0	0	0	0	0	4642.9724327304	0	0	3004.9294078204	2736.1129770307
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	1417.6854365970	2180.3007365143	1603.1674626820	0	2780.9533237720	2335.9463375004	983.7764000360	1919.8622301982	2219.2052572571	0	2859.9682978174	1883.8810765342	2001.4642013076	2995.9961931296	1512.0276263710	1899.4971593784	1866.2175677617	2308.2990122298	1337.3507947913	1716.2529862722	2041.7730974791	1833.6991167954	1735.3192084194	2083.7531718936	2348.2693500317	1813.0450578725	1456.3238167375	1987.8107653322	1692.3676617464	3192.5610825232	2390.2758193375	1313.6488213183	1838.4425591711	3770.9601454384	2503.0103837089	2122.1871902121	2693.9290108632	1622.7564677147	2161.7615076750	2621.6095060298	1376.6026911051	1584.1503902103	1908.5075519682	1872.8350733929	1668.0643126530	3343.4169881255	1940.3202158223	2394.5095170231	2683.8067878953	3184.8074677332	1753.1848707070	2626.5788162795	0	2164.0737676441	2800.8843290595	1570.1273935205	2440.0825103024	2077.3387994799	1935.2991520823	2328.2413065775	1960.5933574763	1946.9560998630	2299.6135138049	1154.8335225130	2263.6585485242	2055.8716469940	1551.8597374752	2137.6036089662	1675.1977541818	2938.5138906360	4259.1697473371	2127.3788885725	2503.4488886847	0	3426.2389287226	3936.5788863499	1937.8667227796	2077.4802812758	2228.8133072663	0	0	2463.5763133592	1856.8819499634	2330.4366860286	3479.9882052776	2989.6266534456	1941.3372132633	0	1277.1767457860	2128.8421882116	1697.7507637431	1827.7345113215	1644.7694647617	2585.2642658393	2707.0735849700	1758.9360541251	2674.6979844333	2128.6600899940	0	0	2538.1301412810	2139.3050121064	3117.4516003602	0	0	0	2024.1315232823	2147.9403640055	3402.4632483586	3956.1446971763	2901.2321253216	2104.9169864374	1856.1919447055	2317.7158061628	2806.9632742119	2903.4605942170	2754.9453474578	3302.2951638525	1562.1817499885	0	2192.7515181188	12.0604483519	1391.1202242409	1284.3526216115	1146.6756981617	2006.2152944803	1920.8038709198	1897.6979008209	1689.2858221727	2357.7073613677	0	1733.9980205093	994.2514014818	1818.2624086066	1752.2859456281	1533.2512780644	2148.5614322687	961.1637565418	1769.2420219460	2072.2128452362	2054.5547521941	1738.7462728351	1587.3864914504	1410.2503139380	26.7345294427	1744.7096444718	1022.8918866995	1463.8758758561	1598.2484074242	2847.7699069873	3384.8125359014	2478.4380542584	1556.2589169759	819.5384603262	1792.5777269737	1727.7990763692	1531.1271759505	1743.1180599140	1302.6905877071	1390.7541052209	1154.5119992016	1316.7751944576	359.0946471687	2144.3337638536	1351.1515638743	1497.6704026519	1479.2315512271	1021.1002707435	1744.7296864015	1840.9672192910	0	1552.8130789008	0	1073.5635115481	1605.5899054841	1956.9430592607	0	0	0	0	0	4654.1602555895	0	0	3578.3452792846	3361.4979967073
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	1627.0272669898	2412.4028906946	1696.7787840975	0	2962.3973278860	2433.9051870015	1044.1511162650	1981.9435308512	2153.8660205842	0	3022.0854895434	1709.9893398867	2186.2864904577	3360.1250774414	1596.9222460050	2050.1257474567	1896.7662614788	2574.1844514785	1486.7477186155	1769.8633064017	2318.8270127734	1899.9518178747	1849.6368848843	2252.2998136370	2683.0671835757	1823.1170210074	1581.0651098731	2119.3252027388	1670.4988298769	3392.1411288978	2495.8718958873	1315.1269119505	2062.8245276216	4332.0807201241	2693.2951438593	2320.0503396532	2894.9283129913	1796.0233120790	2322.4058693293	2836.9302968870	1596.8296082218	1727.7013184350	1994.7294803245	2097.4653652214	1788.6046496538	3351.8934492434	2145.7103064113	2614.3240045420	2847.6404552958	3479.6833981438	1839.9759767060	2861.4333516014	0	2218.8856807606	2915.9030916665	1739.4564639874	2541.4376176833	2238.7275195618	1878.6502019330	2411.4783333271	2103.0938380764	2179.7868768002	2331.1853812304	1243.5508735296	2376.8784552374	2320.7596509506	1639.2031629934	2318.6441211443	1813.5911649223	3187.5053196400	4321.7136941852	2266.7057090458	2824.4100526980	0	3594.7245898215	4275.5299589378	2061.6905474038	2268.9520631342	2405.7153335921	0	0	2501.6797604036	2097.0885942090	2379.4771495975	3418.7315909030	3147.7031913891	2041.8769551207	0	1429.2715626375	2385.7034609406	1880.6631034754	1925.2399670411	1655.8731956829	2662.6926269075	3217.7830476807	1992.4164233816	2901.9122775472	2289.6392342061	0	0	2780.4277747274	2327.5376840057	3296.6461391741	0	0	0	2204.3448193545	2279.5713342872	3569.3135449541	4274.8809017604	3077.6776657607	2224.6348830791	2017.9871740987	2511.9270178952	3027.4678918091	3227.8869941721	3050.0258745054	3257.6197836207	1620.3916460443	0	2385.3137745626	0	1537.2924981235	1421.0579182154	1249.9726794850	2052.5771210111	2120.2268911479	2037.7933931317	1711.4825737835	2670.4509411437	0	1855.1298487217	1079.3208501255	1872.5741195783	1830.8631585989	1670.0720177532	2617.0981543874	1098.2953198070	1995.4872779466	2288.8240202452	2102.7673707256	1891.0494474255	1669.6912831410	1523.3861484005	40.3776504438	1864.0918433094	1155.8591313387	1604.8002077581	1731.0133059256	2813.5859465502	3787.7345832277	2605.8405147963	1655.9498129855	856.6217906373	1835.5202887516	1825.7295227257	1635.3282133824	1864.3227741339	1385.1795638879	1542.8298899020	1279.8977807491	1425.4506587969	382.8823656505	2234.3429818438	1445.4772367834	1446.9979330018	1574.9118567571	1112.9740575300	1936.9428017939	2025.3788561256	0	1725.2118938489	0	1131.8477893843	1703.6782410051	2182.2078457549	0	0	0	0	0	4002.9888743807	0	0	3126.0335524002	3024.0783705074
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	1556.3481232435	2363.1576005354	1672.4873615865	0	2834.6636559562	2360.5690790527	1013.2375094084	1951.3056448465	2125.7155026692	0	2952.9910149501	1796.4111597217	2138.2071923649	3213.3113086418	1548.3591954289	1989.5102604543	1859.2554852338	2457.9111484898	1431.7828399684	1803.4592243656	2226.1100381643	1909.1248872075	1828.9111937092	2214.9219534406	2565.8799154973	1783.5991691502	1545.5062610283	2084.1070059672	1675.2102865680	3308.2404455842	2419.5422891296	1328.3873400274	1999.8167824910	4188.3121316837	2597.8448608927	2247.7160397167	2847.1879464566	1755.3321338473	2264.7812877379	2748.1414458249	1528.2388447122	1694.3165688558	1940.8777524149	2028.1718397603	1755.7621197097	3288.6662514876	2067.0933544740	2526.6460914120	2798.3070981988	3355.1957007898	1799.2207238240	2750.0426642222	0	2169.6295337016	2862.7605494478	1694.0497338398	2500.1089066213	2147.6597133129	1907.6031885259	2389.4688084571	2049.5525658289	2105.5448466546	2322.0581641179	1181.5391958891	2303.0430573162	2243.3833428731	1611.9599160782	2278.2482421901	1784.2904210067	3106.4211657485	4151.8748117778	2224.8593945877	2750.7525846718	0	3502.7159673340	4078.1885221071	2015.4362563585	2180.6285777533	2330.3075788011	0	0	2453.7294898927	1991.5910761118	2413.4727120220	3480.3083593107	3076.7963863273	2005.6756550673	0	1387.1191845685	2317.9286442200	1829.4093804370	1862.6203594731	1676.5045952961	2714.7899300091	3143.9552637785	1963.6731120593	2804.5891675625	2231.3280261915	0	0	2737.3134904660	2310.4537017744	3193.6559494213	0	0	0	2124.7033873407	2241.5825956225	3506.5582442073	4203.1711941246	2997.5414159849	2132.5819183130	1995.0108371402	2453.7683476229	2969.3650156321	3121.0570728778	2974.9109693704	3207.1967288730	1607.3193197355	0	2337.4579117592	10.7118313669	1478.7019657835	1397.8056524658	1202.3759768068	2018.4995248932	2060.0045999315	1975.8667678602	1688.8326612806	2580.0669198607	0	1803.2663381407	1062.6110674783	1844.6267504287	1811.7584689546	1613.8371619438	2491.7204379869	1073.4130910864	1942.0916525059	2217.4680887134	2041.7305204023	1843.3162582714	1652.1006485069	1452.5723776461	38.9186148351	1801.9470706482	1112.8673514627	1565.1377206838	1694.5759465633	2712.3671734840	3663.2818612736	2563.0947775237	1625.6275895691	834.0087025147	1789.3082990991	1781.7875034533	1573.4119979354	1829.1771714355	1347.3597653499	1466.8816720396	1217.4123838431	1373.7844380472	373.6199691829	2261.5225815851	1407.1465078114	1496.6490090550	1510.3883396421	1069.6718808292	1863.5563534903	1941.5927500748	0	1660.0741210378	0	1110.2397951256	1670.5205479021	2111.2122434864	0	0	0	0	0	4333.0664978295	0	0	3364.5253202391	3172.7349044238
PWY-6396: superpathway of 2,3-butanediol biosynthesis	0	0	138.4319775300	0	0	0	0	0	0	0	211.7689410851	41.0884536551	0	0	0	0	0	0	0	0	0	0	0	0	0	48.8412137600	0	0	0	14.7221387710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.5607761542	0	0	0	0	0	0	0	0	0	264.7298017292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.9954173958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.5435738448	0	0	102.3916769715	0	0	0	0	48.7678463983	0	0	0	0	0	0	0	0	0	0	0	35.2551584236	0	0	0	7.6897702184	0	0	0	37.7608629196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157.6227107689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	503.6388353572	0	0	856.9046075484	782.5874352297
PWY-6415: L-ascorbate biosynthesis V (euglena, D-galacturonate pathway)	0	21.7130496196	0	0	0	0	0	25.9752039643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.9695884832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.3790733727	0	0	0	0	0	0	0	26.5438365064	0	0	0	0	0	44.3783497939	0	0	0	0	0	0	0	0	0	20.6555600134	0	17.0498885442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.0566603465	0	0	0	0	38.4865059172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.5182989909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.3187632811	0	56.9405614940	0	0	0	0	0	0	0	0	0	0	40.7307712881	0	0	0	12.2888395225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.4847095475	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6435: 4-hydroxybenzoate biosynthesis III (plants)	0	0	0	0	0	12.6091071239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.0334602004	0	0	0	0	0	0	0	22.2037195763	0	0	0	0	0	0	0	0	0	0	0	0	20.7084896241	0	0	0	20.5823884367	30.8853401118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.4847977881	33.3391839264	0	0	78.5196923814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.6561361872	0	0	0	0	0	0	0	0	0	0	66.6751928581	0	20.7130732140	0	0	0	0	0	0	0	10.0250129860	0	0	14.7147188753	12.0544952267	0	0	0	0	0	17.2255764996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.1828273556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
