feature	metadata	value	coef	abs coef	stderr	N	N.not.0	pval	qval	p-val rank	q-val adjusted for block	Log q val
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium.prausnitzii_E	Group	PD	-0.631908017	0.631908017	0.302050216	146	24	0.038291866	0.367160983	2	0.183359373	0.736696886
d__Bacteria.p__Bacillota_I.c__Bacilli_A.o__Erysipelotrichales.f__Coprobacillaceae.g__Faecalibacillus.s__Faecalibacillus.intestinalis	Group	PD	-0.614687749	0.614687749	0.243228589	146	87	0.012642191	0.210141304	3	0.090926526	1.041309402
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Faecalibacterium.s__Faecalibacterium.duncaniae	Group	PD	-0.613068854	0.613068854	0.341932773	146	105	0.075203272	0.497805728	4	0.278475482	0.555213036
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospira.s__Lachnospira.pectinoschiza_A	Group	PD	-0.610659363	0.610659363	0.285587742	146	58	0.03428364	0.350031897	5	0.169258845	0.771448627
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Acutalibacteraceae.g__Clostridium_A.s__Clostridium_A.leptum	Group	PD	0.609015052	0.609015052	0.234276028	146	66	0.010364859	0.198833883	6	0.086732216	1.061819556
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Gemmiger.s__Gemmiger.qucibialis	Group	PD	0.60598969	0.60598969	0.301856369	146	125	0.046673258	0.413154992	7	0.207807124	0.682339568
d__Bacteria.p__Bacillota_A.c__Clostridia.o__UBA1381.f__UBA1381.g__Hominilimicola.s__Hominilimicola.fabiformis	Group	PD	-0.599567688	0.599567688	0.226363963	146	116	0.009036504	0.183085506	8	0.07859657	1.104596406
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Dorea_A.s__Dorea_A.longicatena	Sex_Male1_Female2	Female	-0.595285556	0.595285556	0.32423681	146	93	0.068547732	0.480115594	1	0.695361253	0.157789513
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Agathobacter.s__Agathobacter.faecis	Sex_Male1_Female2	Female	-0.593145624	0.593145624	0.391944123	146	92	0.132513184	0.581348162	2	0.784838176	0.10521988
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Gemmiger.s__Gemmiger.sp900539695	Group	PD	-0.580997392	0.580997392	0.182814579	146	65	0.001835543	0.103298717	1	0.036698228	1.435354902
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia.s__Blautia.stercoris	Group	PD	-0.578824038	0.578824038	0.24815613	146	35	0.02114214	0.276689374	2	0.129625582	0.887309281
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Phocaeicola.s__Phocaeicola.dorei	Sex_Male1_Female2	Female	-0.578377628	0.578377628	0.373357842	146	76	0.123675828	0.565249191	1	0.768661134	0.114265078
d__Bacteria.p__Bacillota.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus.s__Lactococcus.lactis	Group	PD	0.576881299	0.576881299	0.204128946	146	42	0.005423335	0.14751472	1	0.063254012	1.198911923
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Eubacterium_G.s__Eubacterium_G.ventriosum	Group	PD	-0.572102696	0.572102696	0.205821888	146	66	0.006213766	0.151517268	2	0.063254012	1.198911923
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Bariatricus.s__Bariatricus.comes_A	Group	PD	-0.570990187	0.570990187	0.254753098	146	120	0.026623993	0.304041938	3	0.146425256	0.834384007
d__Bacteria.p__Bacillota_A.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia_B.s__Roseburia_B.zhanii	Group	PD	-0.569286191	0.569286191	0.118834923	146	20	4.29E-06	0.001605138	4	0.000401284	3.396547745
d__Bacteria.p__Actinomycetota.c__Actinomycetes.o__Actinomycetales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium.adolescentis	Age	Age	-0.56428104	0.56428104	0.190090417	146	67	0.003537762	0.134335374	1	0.123763771	0.907406465
