Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	Total Bases	Sequence length	File type	basic_statistics	per_sequence_gc_content	sequence_length_distribution	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
PD_197_filtered_prinseq_2	pass	0.0	pass	132.630226076	Sanger / Illumina 1.9	pass	685.8 Mbp	60-151	Conventional base calls	pass	pass	warn	5140257.0	pass	warn	pass	49.0	97.894342839	PD_197_filtered_prinseq_2.fastq	fail	pass
PD_198_filtered_prinseq_1	pass	0.0	pass	136.919060292	Sanger / Illumina 1.9	pass	519.2 Mbp	60-151	Conventional base calls	pass	pass	warn	3769979.0	pass	pass	pass	47.0	97.9853091257	PD_198_filtered_prinseq_1.fastq	fail	pass
PD_198_filtered_prinseq_2	pass	0.0	pass	136.878205422	Sanger / Illumina 1.9	pass	519.1 Mbp	60-151	Conventional base calls	pass	pass	warn	3769979.0	pass	pass	pass	47.0	98.0637740422	PD_198_filtered_prinseq_2.fastq	fail	pass
PD_199P_filtered_prinseq_1	pass	0.0	pass	151.0	Sanger / Illumina 1.9	pass	151 bp	151.0	Conventional base calls	pass	fail	pass	1.0	pass	fail	fail	45.0	100.0	PD_199P_filtered_prinseq_1.fastq	pass	pass
PD_199P_filtered_prinseq_2	pass	0.0	pass	151.0	Illumina 1.5	pass	151 bp	151.0	Conventional base calls	pass	fail	pass	1.0	pass	fail	fail	47.0	100.0	PD_199P_filtered_prinseq_2.fastq	pass	fail
PD_1P_filtered_prinseq_1	pass	0.0	pass	125.228049853	Sanger / Illumina 1.9	pass	455.8 Mbp	60-151	Conventional base calls	pass	pass	warn	3618814.0	pass	pass	pass	52.0	97.3852172851	PD_1P_filtered_prinseq_1.fastq	fail	pass
PD_1P_filtered_prinseq_2	pass	0.0	pass	125.212689019	Sanger / Illumina 1.9	pass	455.7 Mbp	60-151	Conventional base calls	pass	pass	warn	3618814.0	pass	pass	pass	52.0	97.3050311708	PD_1P_filtered_prinseq_2.fastq	fail	pass
PD_200S_filtered_prinseq_1	pass	0.0	pass	132.634683142	Sanger / Illumina 1.9	pass	635.1 Mbp	60-151	Conventional base calls	pass	warn	warn	4760180.0	pass	warn	pass	48.0	98.4594396672	PD_200S_filtered_prinseq_1.fastq	fail	pass
PD_200S_filtered_prinseq_2	pass	0.0	pass	132.554646253	Sanger / Illumina 1.9	pass	634.7 Mbp	60-151	Conventional base calls	pass	warn	warn	4760180.0	pass	pass	pass	48.0	98.4378200175	PD_200S_filtered_prinseq_2.fastq	fail	pass
PD_203_filtered_prinseq_1	pass	0.0	pass	131.229308649	Sanger / Illumina 1.9	pass	547.5 Mbp	60-151	Conventional base calls	pass	pass	warn	4147663.0	pass	pass	pass	48.0	98.9747035092	PD_203_filtered_prinseq_1.fastq	fail	pass
PD_203_filtered_prinseq_2	pass	0.0	pass	131.224823232	Sanger / Illumina 1.9	pass	547.5 Mbp	60-151	Conventional base calls	pass	pass	warn	4147663.0	pass	pass	pass	48.0	98.9771174777	PD_203_filtered_prinseq_2.fastq	fail	pass
PD_204_filtered_prinseq_1	pass	0.0	pass	126.569039305	Sanger / Illumina 1.9	pass	506.7 Mbp	60-151	Conventional base calls	pass	warn	warn	3980421.0	pass	warn	pass	47.0	97.9699855159	PD_204_filtered_prinseq_1.fastq	fail	pass
